# FACILITY: LCO
# DATE-OBS: 2024-11-23
wavelength flux
4.013734202607820862e+03 1.735222968749999882e-15
4.015457121364089744e+03 1.833013125000000009e-15
4.017180040120358171e+03 1.894877656249999966e-15
4.018902958876627054e+03 1.792914531249999952e-15
4.020625877632895936e+03 1.856508281249999981e-15
4.022348796389164818e+03 1.901992812499999857e-15
4.024071715145433700e+03 1.906666406249999935e-15
4.025794633901702582e+03 1.780904687499999755e-15
4.027517552657971464e+03 1.765377968749999876e-15
4.029240471414239892e+03 1.889353593749999771e-15
4.030963390170508774e+03 1.743041562499999935e-15
4.032686308926777656e+03 1.810828437499999771e-15
4.034409227683046538e+03 1.842479999999999915e-15
4.036132146439314965e+03 1.758979374999999953e-15
4.037855065195583848e+03 1.854473593749999883e-15
4.039577983951852730e+03 1.860447031250000030e-15
4.041300902708121612e+03 1.928322656249999861e-15
4.043023821464390494e+03 1.786472031249999848e-15
4.044746740220659376e+03 1.817356249999999898e-15
4.046469658976928258e+03 1.602488593749999990e-15
4.048192577733196686e+03 1.686857968749999933e-15
4.049915496489465568e+03 1.824219999999999891e-15
4.051638415245734450e+03 1.915804218749999921e-15
4.053361334002003332e+03 1.817155937500000069e-15
4.055084252758271759e+03 1.899754843749999873e-15
4.056807171514540642e+03 1.974193281249999841e-15
4.058530090270809524e+03 1.885528437499999979e-15
4.060253009027078406e+03 1.779901093749999991e-15
4.061975927783347288e+03 1.839366718749999751e-15
4.063698846539616170e+03 1.904183593750000054e-15
4.065421765295885052e+03 2.042370624999999980e-15
4.067144684052153480e+03 1.982873749999999930e-15
4.068867602808422362e+03 1.853151562499999864e-15
4.070590521564691244e+03 1.806755937499999743e-15
4.072313440320960126e+03 1.792592968749999866e-15
4.074036359077228553e+03 1.820329218750000080e-15
4.075759277833497435e+03 1.936706562499999701e-15
4.077482196589766318e+03 1.885695468750000080e-15
4.079205115346035200e+03 1.823092031250000037e-15
4.080928034102304082e+03 1.761588593749999952e-15
4.082650952858572964e+03 1.800985312499999763e-15
4.084373871614841846e+03 1.801942187499999852e-15
4.086096790371110274e+03 1.651132031249999901e-15
4.087819709127379156e+03 1.595772031249999925e-15
4.089542627883648038e+03 1.720132656249999924e-15
4.091265546639916920e+03 1.658564687499999822e-15
4.092988465396185347e+03 1.640271249999999901e-15
4.094711384152454229e+03 1.649733906249999975e-15
4.096434302908723112e+03 1.566982968749999933e-15
4.098157221664991994e+03 1.306189296874999861e-15
4.099880140421260876e+03 1.104506796874999960e-15
4.101603059177529758e+03 1.004029609375000038e-15
4.103325977933798640e+03 1.044964921874999926e-15
4.105048896690067522e+03 1.113143125000000009e-15
4.106771815446336404e+03 1.236480312499999872e-15
4.108494734202604377e+03 1.394002968749999832e-15
4.110217652958873259e+03 1.632591562499999885e-15
4.111940571715142141e+03 1.762572812499999852e-15
4.113663490471411023e+03 1.759282031249999893e-15
4.115386409227679906e+03 1.808105624999999712e-15
4.117109327983948788e+03 1.870266562499999749e-15
4.118832246740217670e+03 1.684260312499999824e-15
4.120555165496486552e+03 1.819205624999999834e-15
4.122278084252755434e+03 1.756793906249999983e-15
4.124001003009024316e+03 1.851399687499999730e-15
4.125723921765293198e+03 1.806265625000000061e-15
4.127446840521561171e+03 1.886786874999999811e-15
4.129169759277830053e+03 1.813242656249999971e-15
4.130892678034098935e+03 1.707062343749999947e-15
4.132615596790367817e+03 1.848985156249999980e-15
4.134338515546636700e+03 1.954636406249999805e-15
4.136061434302905582e+03 1.940020156250000087e-15
4.137784353059174464e+03 1.960756874999999710e-15
4.139507271815443346e+03 1.997566875000000006e-15
4.141230190571712228e+03 2.070202343749999770e-15
4.142953109327981110e+03 1.835074843749999777e-15
4.144676028084249992e+03 1.820975468750000086e-15
4.146398946840517965e+03 1.916675312499999874e-15
4.148121865596786847e+03 1.954836874999999803e-15
4.149844784353055729e+03 1.918669687499999736e-15
4.151567703109324611e+03 1.834162656249999925e-15
4.153290621865593494e+03 1.872042343749999721e-15
4.155013540621862376e+03 2.058019531249999751e-15
4.156736459378131258e+03 2.141256406250000065e-15
4.158459378134400140e+03 2.106506874999999761e-15
4.160182296890669022e+03 2.049688906249999982e-15
4.161905215646937904e+03 2.041174218749999826e-15
4.163628134403206786e+03 1.997500312499999763e-15
4.165351053159474759e+03 1.969521718749999990e-15
4.167073971915743641e+03 1.934226875000000046e-15
4.168796890672012523e+03 1.947129374999999864e-15
4.170519809428281405e+03 2.073677499999999862e-15
4.172242728184550288e+03 1.954712187499999769e-15
4.173965646940819170e+03 1.815956874999999802e-15
4.175688565697088052e+03 1.937917187499999858e-15
4.177411484453356934e+03 1.905169218749999700e-15
4.179134403209625816e+03 1.840144999999999849e-15
4.180857321965894698e+03 1.919781874999999867e-15
4.182580240722163580e+03 1.958996562499999911e-15
4.184303159478431553e+03 1.820922968750000072e-15
4.186026078234700435e+03 1.834484531249999955e-15
4.187748996990969317e+03 1.906105156250000009e-15
4.189471915747238199e+03 1.927501874999999922e-15
4.191194834503507082e+03 1.862164374999999873e-15
4.192917753259775964e+03 1.829845468749999774e-15
4.194640672016044846e+03 1.869717343749999826e-15
4.196363590772313728e+03 1.983530468749999825e-15
4.198086509528582610e+03 1.861772968749999937e-15
4.199809428284851492e+03 1.888728593749999884e-15
4.201532347041120374e+03 1.977035937499999820e-15
4.203255265797388347e+03 1.978197499999999739e-15
4.204978184553657229e+03 1.907825156249999966e-15
4.206701103309926111e+03 1.986813593749999978e-15
4.208424022066194993e+03 1.943286406249999729e-15
4.210146940822463876e+03 2.012509843749999868e-15
4.211869859578732758e+03 2.132912968749999842e-15
4.213592778335001640e+03 2.021403593750000014e-15
4.215315697091270522e+03 1.842233124999999792e-15
4.217038615847539404e+03 1.938137031249999917e-15
4.218761534603808286e+03 2.086039843749999704e-15
4.220484453360077168e+03 2.032420156249999775e-15
4.222207372116345141e+03 1.999394687499999879e-15
4.223930290872614023e+03 1.955840937500000074e-15
4.225653209628882905e+03 1.947492499999999962e-15
4.227376128385151787e+03 1.962820781249999872e-15
4.229099047141420670e+03 1.933944062500000082e-15
4.230821965897689552e+03 1.907518906249999883e-15
4.232544884653958434e+03 1.955099843749999986e-15
4.234267803410227316e+03 2.004623593749999769e-15
4.235990722166496198e+03 1.949996718749999736e-15
4.237713640922765080e+03 1.944839999999999867e-15
4.239436559679033962e+03 1.998654687499999792e-15
4.241159478435301935e+03 2.000423124999999706e-15
4.242882397191570817e+03 2.030734687499999714e-15
4.244605315947839699e+03 1.971253593749999781e-15
4.246328234704108581e+03 2.051423281249999718e-15
4.248051153460377463e+03 2.050314062500000038e-15
4.249774072216646346e+03 1.937125624999999983e-15
4.251496990972915228e+03 2.026482968749999807e-15
4.253219909729184110e+03 1.879518124999999766e-15
4.254942828485452992e+03 1.918833749999999780e-15
4.256665747241721874e+03 1.874669218750000092e-15
4.258388665997990756e+03 1.896273437499999723e-15
4.260111584754258729e+03 1.966942812499999857e-15
4.261834503510527611e+03 1.875807500000000061e-15
4.263557422266796493e+03 1.960593437499999947e-15
4.265280341023065375e+03 1.973872812499999755e-15
4.267003259779334257e+03 2.001780156249999734e-15
4.268726178535603140e+03 2.035268437499999923e-15
4.270449097291872022e+03 1.859893124999999767e-15
4.272172016048140904e+03 1.894807656249999947e-15
4.273894934804409786e+03 2.127305156249999738e-15
4.275617853560678668e+03 1.933543593749999805e-15
4.277340772316947550e+03 1.871985781250000044e-15
4.279063691073215523e+03 1.874806093749999903e-15
4.280786609829484405e+03 1.922617968749999844e-15
4.282509528585753287e+03 1.806275468750000064e-15
4.284232447342022169e+03 1.969631718749999907e-15
4.285955366098291051e+03 1.900827187499999881e-15
4.287678284854559934e+03 1.924239531249999774e-15
4.289401203610828816e+03 1.972578750000000026e-15
4.291124122367097698e+03 1.941965624999999880e-15
4.292847041123366580e+03 1.867312812499999854e-15
4.294569959879635462e+03 1.820935624999999962e-15
4.296292878635904344e+03 1.795401875000000004e-15
4.298015797392172317e+03 1.906360156249999852e-15
4.299738716148441199e+03 1.894107812499999927e-15
4.301461634904710081e+03 1.899268906249999798e-15
4.303184553660978963e+03 1.883828906250000084e-15
4.304907472417247845e+03 1.879030312500000029e-15
4.306630391173516728e+03 1.875730312499999758e-15
4.308353309929785610e+03 1.792326406249999737e-15
4.310076228686054492e+03 1.940699999999999764e-15
4.311799147442323374e+03 2.024409999999999698e-15
4.313522066198592256e+03 2.000810781249999923e-15
4.315244984954861138e+03 2.020936718750000057e-15
4.316967903711129111e+03 1.960949218749999987e-15
4.318690822467397993e+03 2.047925156250000014e-15
4.320413741223666875e+03 1.906058281249999771e-15
4.322136659979935757e+03 1.966846874999999775e-15
